Informe de palabras clave de búsqueda
1 de septiembre de 2026 - 21 de septiembre de 2026
Semana,Estado de las palabras clave,Palabra clave,Tipo de concordancia,Estado,Motivos del estado,Conversiones,Código de moneda,Coste/conv.,Coste,Impr.,Clics,CTR,CPC medio,Cuota impr. perd. de búsq. (ranking),Cuota impr. perdidas de parte sup. abs. de búsqueda (ranking),Tasa de conv.,Coste/todas las conversiones,Nivel de calidad,Duración media de la interacción por sesión (segundos) (GA4),Cuota de impr. de búsqueda,Relevancia del anuncio,Relevancia del anuncio (historial),Experiencia en la página de destino,Experiencia en la página de destino (historial)
2026-09-14,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"3,00",PEN,"35,04","105,13",354,32,"9,04%","3,29","33,10%","39,60%","9,38%","26,28",5,"10,72",< 10%,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-07,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","7,29",60,3,"5,00%","2,43","80,56%",> 90%,"0,00%",0,5,"16,33","16,67%",Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-14,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","4,79",16,2,"12,50%","2,40","83,54%",> 90%,"0,00%",0,5,"0,00","16,46%",Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-21,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0,> 90%,> 90%,"0,00%",0,5,0,< 10%,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-08-31,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",9,0,"0,00%",0,"4,17%","25,00%","0,00%",0,3,0,"37,50%",Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-07,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-14,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-21,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-08-31,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-07,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-14,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-21,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-08-31,En pausa,[productora audiovisual precios],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,[productora audiovisual precios],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,[productora audiovisual precios],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,[productora audiovisual precios],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""Creacion de contenido""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""Creacion de contenido""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""Creacion de contenido""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""Creacion de contenido""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""spot promocional""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""spot promocional""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""spot promocional""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""spot promocional""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""Agencia de contenido""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""Agencia de contenido""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""Agencia de contenido""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""Agencia de contenido""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""productoras de spots publicitarios""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""productoras de spots publicitarios""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""productoras de spots publicitarios""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""productoras de spots publicitarios""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,Habilitado,"""agencia de videos publicitarios""",Concordancia de frase,Apto,,"0,00",PEN,"0,00","0,00",2,0,"0,00%",0,"0,00%","20,00%","0,00%",0,5,0,"40,00%",Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-07,Habilitado,"""agencia de videos publicitarios""",Concordancia de frase,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-14,Habilitado,"""agencia de videos publicitarios""",Concordancia de frase,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-21,Habilitado,"""agencia de videos publicitarios""",Concordancia de frase,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-08-31,En pausa,[creador de contenidos],Concordancia exacta,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,[creador de contenidos],Concordancia exacta,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,[creador de contenidos],Concordancia exacta,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,[creador de contenidos],Concordancia exacta,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,[productora audiovisual lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,[productora audiovisual lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,[productora audiovisual lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,[productora audiovisual lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""empresa de videos""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""empresa de videos""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""empresa de videos""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""empresa de videos""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,[videos corporativos animados],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,[videos corporativos animados],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,[videos corporativos animados],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,[videos corporativos animados],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""video corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-09-07,En pausa,"""video corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-09-14,En pausa,"""video corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-09-21,En pausa,"""video corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-08-31,En pausa,"""videos promocionales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""videos promocionales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""videos promocionales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""videos promocionales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""videos testimoniales""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""videos testimoniales""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""videos testimoniales""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""videos testimoniales""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""videos publicitarios cortos""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""videos publicitarios cortos""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""videos publicitarios cortos""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""videos publicitarios cortos""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""spot audiovisual""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,1,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-07,En pausa,"""spot audiovisual""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,1,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-14,En pausa,"""spot audiovisual""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,1,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-09-21,En pausa,"""spot audiovisual""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,1,0, --,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media
2026-08-31,Habilitado,creacion de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","6,31",36,2,"5,56%","3,16","58,45%","71,83%","0,00%",0, --,"4,00","19,01%", --, --, --, --
2026-09-07,Habilitado,creacion de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","57,53",292,24,"8,22%","2,40","73,68%","87,15%","0,00%","57,53", --,"16,00","18,20%", --, --, --, --
2026-09-14,Habilitado,creacion de videos publicitarios,Concordancia amplia,Apto,,"1,00",PEN,"12,73","12,73",66,6,"9,09%","2,12","87,10%",> 90%,"16,67%","12,73", --,"15,40","12,90%", --, --, --, --
2026-09-21,Habilitado,creacion de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",3,0,"0,00%",0,> 90%,> 90%,"0,00%",0, --,0,< 10%, --, --, --, --
2026-08-31,En pausa,[spot publicitario],Concordancia exacta,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,[spot publicitario],Concordancia exacta,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,[spot publicitario],Concordancia exacta,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,[spot publicitario],Concordancia exacta,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""videos publicitarios""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-09-07,En pausa,"""videos publicitarios""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-09-14,En pausa,"""videos publicitarios""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-09-21,En pausa,"""videos publicitarios""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-08-31,En pausa,"""productora de comerciales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""productora de comerciales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""productora de comerciales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""productora de comerciales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""storytelling corporativo""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --,Por debajo de la media, --,Por debajo de la media
2026-09-07,En pausa,"""storytelling corporativo""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --,Por debajo de la media, --,Por debajo de la media
2026-09-14,En pausa,"""storytelling corporativo""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --,Por debajo de la media, --,Por debajo de la media
2026-09-21,En pausa,"""storytelling corporativo""",Concordancia de frase,En pausa,en pausa; baja calidad,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,En pausa,"""videos promocionales de empresas""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,"""videos promocionales de empresas""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,"""videos promocionales de empresas""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,"""videos promocionales de empresas""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-08-31,Habilitado,"""productora de videos""",Concordancia de frase,Apto,,"1,00",PEN,"12,55","12,55",22,3,"13,64%","4,18","15,45%","26,83%","33,33%","12,55",3,"31,33","17,07%",Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-09-07,Habilitado,"""productora de videos""",Concordancia de frase,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-09-14,Habilitado,"""productora de videos""",Concordancia de frase,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-09-21,Habilitado,"""productora de videos""",Concordancia de frase,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --,Por encima de la media,Por encima de la media,Por debajo de la media,Por debajo de la media
2026-08-31,En pausa,[cotizacion video institucional],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-07,En pausa,[cotizacion video institucional],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-14,En pausa,[cotizacion video institucional],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
2026-09-21,En pausa,[cotizacion video institucional],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --, --, --, --, --
