Informe de palabras clave de búsqueda
1 de junio de 2026 - 20 de septiembre de 2026
Semana,Estado de las palabras clave,Palabra clave,Tipo de concordancia,Estado,Motivos del estado,Conversiones,Código de moneda,Coste/conv.,Coste,Impr.,Clics,CTR,CPC medio,Cuota impr. perd. de búsq. (ranking),Cuota impr. perdidas de parte sup. abs. de búsqueda (ranking),Tasa de conv.,Coste/todas las conversiones,Nivel de calidad,Duración media de la interacción por sesión (segundos) (GA4),Cuota de impr. de búsqueda
2026-08-10,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-17,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-24,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-31,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-07,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-14,En pausa,"""videos de induccion laboral""",Concordancia de frase,En pausa,en pausa; no suele publicarse,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-01,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-08,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-15,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-22,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-29,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-06,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-13,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-20,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-27,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-03,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-10,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-17,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-24,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-31,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-07,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-14,En pausa,"""video induccion empresa""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-01,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-08,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-15,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-22,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-29,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-06,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-13,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-20,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-27,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-03,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-10,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-17,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-24,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-31,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-07,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-14,En pausa,"""documental corporativo""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-01,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-08,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-15,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-22,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-29,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-06,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-13,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-20,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-27,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-03,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-10,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-17,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-24,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-31,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-07,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-14,En pausa,"""videos publicitarios para redes sociales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-01,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-06-08,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-06-15,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-06-22,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-06-29,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-07-06,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-07-13,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-07-20,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-07-27,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-08-03,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-08-10,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,5,0, --
2026-08-17,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"1,00",PEN,"38,94","38,94",127,12,"9,45%","3,25","72,67%","89,79%","8,33%","38,94",5,"13,33","27,33%"
2026-08-24,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"9,00",PEN,"17,13","154,19",644,50,"7,76%","3,08","38,72%","47,98%","18,00%","17,13",5,"15,68","14,48%"
2026-08-31,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"3,00",PEN,"41,11","123,34",413,38,"9,20%","3,25","31,83%","38,01%","7,89%","30,84",5,"14,76",< 10%
2026-09-07,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","7,29",60,3,"5,00%","2,43","80,56%",> 90%,"0,00%",0,5,"16,33","16,67%"
2026-09-14,Habilitado,agencia de videos publicitarios,Concordancia amplia,Apto,,"0,00",PEN,"0,00","4,79",16,2,"12,50%","2,40","83,54%",> 90%,"0,00%",0,5,"0,00","16,46%"
2026-06-01,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"1,00",PEN,"6,77","6,77",27,2,"7,41%","3,39","38,46%","55,56%","50,00%","6,77",3,"6,67","57,69%"
2026-06-08,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"1,00",PEN,"76,03","76,03",39,7,"17,95%","10,86","9,09%","32,35%","14,29%","76,03",3,"18,75","75,76%"
2026-06-15,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","27,47",20,4,"20,00%","6,87","15,79%","36,84%","0,00%",0,3,"8,71","73,68%"
2026-06-22,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",12,0,"0,00%",0,"27,27%","45,45%","0,00%",0,3,0,"63,64%"
2026-06-29,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","26,38",28,3,"10,71%","8,79","29,17%","37,50%","0,00%",0,3,"16,00","70,83%"
2026-07-06,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","30,80",32,4,"12,50%","7,70","21,88%","46,88%","0,00%",0,3,"35,25","71,88%"
2026-07-13,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","12,02",9,1,"11,11%","12,02","5,88%","18,75%","0,00%",0,3,0,"41,18%"
2026-07-20,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"2,00",PEN,"12,76","25,52",12,5,"41,67%","5,10","23,53%","58,82%","40,00%","12,76",3,"55,60","58,82%"
2026-07-27,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"1,00",PEN,"4,98","4,98",10,2,"20,00%","2,49","0,00%","7,14%","50,00%","4,98",3,"83,00","71,43%"
2026-08-03,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"1,00",PEN,"8,10","8,10",17,2,"11,76%","4,05","4,35%","30,43%","50,00%","8,10",3,"17,00","73,91%"
2026-08-10,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"4,00",PEN,"3,28","13,10",17,5,"29,41%","2,62","16,67%","55,56%","80,00%","3,28",3,"130,80","77,78%"
2026-08-17,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","2,80",16,1,"6,25%","2,80","11,11%","44,44%","0,00%",0,3,"35,00","88,89%"
2026-08-24,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","3,19",19,1,"5,26%","3,19","0,00%","5,00%","0,00%",0,3,"4,00","65,00%"
2026-08-31,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",10,0,"0,00%",0,"3,70%","25,93%","0,00%",0,3,0,"37,04%"
2026-09-07,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-09-14,En pausa,[productora audiovisual en lima],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-06-01,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-08,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-15,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-22,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-29,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-06,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-13,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-20,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-07-27,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-03,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-10,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-17,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-24,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-08-31,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-07,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-09-14,En pausa,"""registro de eventos empresariales""",Concordancia de frase,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0, --,0, --
2026-06-01,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-06-08,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-06-15,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-06-22,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-06-29,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-07-06,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-07-13,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-07-20,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-07-27,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-08-03,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-08-10,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-08-17,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","7,78",15,3,"20,00%","2,59","47,37%","78,95%","0,00%",0,3,"6,00","52,63%"
2026-08-24,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",4,0,"0,00%",0,"19,35%","22,58%","0,00%",0,3,0,"12,90%"
2026-08-31,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-09-07,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-09-14,En pausa,productora audiovisual en lima,Concordancia amplia,En pausa,en pausa,"0,00",PEN,"0,00","0,00",0,0, --,0, --, --,"0,00%",0,3,0, --
2026-06-01,En pausa,[productora audiovisual precios],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","7,38",7,1,"14,29%","7,38","0,00%","14,29%","0,00%",0, --,"7,00","71,43%"
2026-06-08,En pausa,[productora audiovisual precios],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","0,00",2,0,"0,00%",0,"0,00%","0,00%","0,00%",0, --,0,"100,00%"
2026-06-15,En pausa,[productora audiovisual precios],Concordancia exacta,En pausa,en pausa,"0,98",PEN,"30,40","29,77",9,4,"44,44%","7,44","14,29%","57,14%","24,48%","30,40", --,"27,33","85,71%"
2026-06-22,En pausa,[productora audiovisual precios],Concordancia exacta,En pausa,en pausa,"0,00",PEN,"0,00","4,64",7,2,"28,57%","2,32","22,22%","33,33%","0,00%",0, --,0,"55,56%"
